subj_idx,group_idx,turn_type,task_type,snr_type,trial_num,step_att,response,rt,step_unatnd
3,Left,LMC,Tone,Clear,57,2,0,0.682106300000669,2
3,Left,LMC,Tone,Clear,58,2,0,0.658980000000156,4
3,Left,LMC,Tone,Clear,59,3,1,0.685623600000326,5
3,Left,LMC,Tone,Clear,60,5,1,0.723298099999738,3
3,Left,LMC,Tone,Clear,61,3,1,0.865055000000211,4
3,Left,LMC,Tone,Clear,62,5,1,0.604112500001065,1
3,Left,LMC,Tone,Clear,63,2,0,0.564289100000678,5
3,Left,LMC,Tone,Clear,64,3,1,0.607747000000018,3
3,Left,LMC,Tone,Clear,65,4,1,0.611817400000291,4
3,Left,LMC,Tone,Clear,66,3,0,0.893126200000552,2
3,Left,LMC,Tone,Clear,67,1,0,0.651039599999422,1
3,Left,LMC,Tone,Clear,68,3,1,0.674196600000869,4
3,Left,LMC,Tone,Clear,69,1,0,0.614770500000304,5
3,Left,LMC,Tone,Clear,70,3,1,0.818814700000075,3
3,Left,LMC,Tone,Clear,71,5,1,0.701890399999684,5
3,Left,LMC,Tone,Clear,72,3,0,0.568659099999422,1
3,Left,LMC,Tone,Clear,73,3,0,0.594215499999336,2
3,Left,LMC,Tone,Clear,74,5,1,0.598704699999871,4
3,Left,LMC,Tone,Clear,75,4,1,0.595417800001087,1
3,Left,LMC,Tone,Clear,76,1,0,0.655191399999239,3
3,Left,LMC,Tone,Clear,77,4,1,0.624793700000737,3
3,Left,LMC,Tone,Clear,78,2,0,0.657809599999382,3
3,Left,LMC,Cons,Clear,1,4,1,1.22354780000023,3
3,Left,LMC,Cons,Clear,2,4,1,0.723982800000158,2
3,Left,LMC,Cons,Clear,3,4,1,0.583373699999356,2
3,Left,LMC,Cons,Clear,4,1,0,0.549399100000301,3
3,Left,LMC,Cons,Clear,5,4,1,0.623349999999846,4
3,Left,LMC,Cons,Clear,6,5,1,0.587488099999973,1
3,Left,LMC,Cons,Clear,7,5,1,0.626651700000366,3
3,Left,LMC,Cons,Clear,8,1,0,0.49863809999988,5
3,Left,LMC,Cons,Clear,9,4,1,0.543003000000681,5
3,Left,LMC,Cons,Clear,10,5,1,0.633943499999077,5
3,Left,LMC,Cons,Clear,11,3,1,0.588311600000452,5
3,Left,LMC,Cons,Clear,12,1,0,0.505828999999721,3
3,Left,LMC,Cons,Clear,13,3,1,0.542305900000429,5
3,Left,LMC,Cons,Clear,14,2,1,0.828040899999905,1
3,Left,LMC,Cons,Clear,15,2,0,0.556589600000734,4
3,Left,LMC,Cons,Clear,16,4,1,0.526991599999747,4
3,Left,LMC,Cons,Clear,17,2,0,0.814799699999639,3
3,Left,LMC,Cons,Clear,18,2,1,0.668295999999827,2
3,Left,LMC,Cons,Clear,19,2,1,0.745121799998742,2
3,Left,LMC,Cons,Clear,20,4,1,0.600998700001583,1
3,Left,LMC,Cons,Clear,21,5,1,0.715124000000287,2
3,Left,LMC,Cons,Clear,22,3,1,0.64354110000022,1
3,Left,LMC,Cons,Clear,23,3,1,0.595742499999687,3
3,Left,LMC,Cons,Clear,24,5,1,0.620458299999882,3
3,Left,LMC,Cons,Clear,25,1,0,0.522582600000533,4
3,Left,LMC,Cons,Clear,26,1,1,0.550778999999238,1
3,Left,LMC,Cons,Clear,27,3,1,0.657787800000733,2
3,Left,LMC,Cons,Clear,28,2,1,0.625968299998931,5
3,Left,LMC,Cons,Clear,29,5,1,0.619138000000021,4
3,Left,LMC,Cons,Clear,30,2,0,0.534781100001055,4
3,Left,LMC,Cons,Clear,31,3,1,0.688236399999369,3
3,Left,LMC,Cons,Clear,32,3,1,0.712264799998593,2
3,Left,LMC,Cons,Clear,33,4,1,0.622199200000978,3
3,Left,LMC,Cons,Clear,34,3,1,0.617099900000539,4
3,Left,LMC,Cons,Clear,35,2,1,0.689108999999007,3
3,Left,LMC,Cons,Clear,36,3,1,0.719183900000644,4
3,Left,LMC,Cons,Clear,37,3,1,0.539351999999781,3
3,Left,LMC,Cons,Clear,38,1,0,0.576920499999687,2
3,Left,LMC,Cons,Clear,39,3,1,0.604654400000072,1
3,Left,LMC,Cons,Clear,40,1,0,0.548087999999552,4
3,Left,LMC,Cons,Clear,41,3,1,0.67287000000033,1
3,Left,LMC,Cons,Clear,42,3,1,0.58824949999871,3
3,Left,LMC,Cons,Clear,43,4,1,0.72364430000016,1
3,Left,LMC,Cons,Clear,44,3,1,0.610447099999874,3
3,Left,LMC,Cons,Clear,45,3,1,0.544537099998706,1
3,Left,LMC,Cons,Clear,46,4,1,0.575001299999713,4
3,Left,LMC,Cons,Clear,47,5,1,0.641819700000269,5
3,Left,LMC,Cons,Clear,48,4,1,0.705797599999642,3
3,Left,LMC,Cons,Clear,49,2,1,0.615769599999112,4
3,Left,LMC,Cons,Clear,50,4,1,0.556906499999968,2
3,Left,LMC,Cons,Clear,51,4,1,0.587171900000612,4
3,Left,LMC,Cons,Clear,52,2,1,0.65307170000051,3
3,Left,LMC,Cons,Clear,53,4,1,0.516826799999762,3
3,Left,LMC,Cons,Clear,54,2,0,0.587558199998966,2
3,Left,LMC,Cons,Clear,55,3,1,0.49390140000105,5
3,Left,LMC,Cons,Clear,56,5,1,0.5273801000003,3
3,Left,LMC,Cons,Clear,57,1,0,0.701302599998598,1
3,Left,LMC,Cons,Clear,58,2,0,0.663532399999895,1
3,Left,LMC,Cons,Clear,59,1,0,0.617820999999822,3
3,Left,LMC,Cons,Clear,60,5,1,0.559961799999655,4
3,Left,LMC,Cons,Clear,61,3,1,1.06206589999965,5
3,Left,LMC,Cons,Clear,62,1,0,0.621188099999927,5
3,Left,LMC,Cons,Clear,63,2,0,0.880856100000528,2
3,Left,LMC,Cons,Clear,64,2,0,0.836758600000394,4
3,Left,LMC,Cons,Clear,65,2,0,0.74891530000059,3
3,Left,LMC,Cons,Clear,66,3,1,0.52636800000073,2
3,Left,LMC,Cons,Clear,67,4,1,0.556652900000699,5
3,Left,LMC,Cons,Clear,68,5,1,0.585302599998613,3
3,Left,LMC,Cons,Clear,69,3,1,0.692175199999838,3
3,Left,LMC,Cons,Clear,70,3,1,0.650822499999776,2
3,Left,LMC,Cons,Clear,71,1,0,0.63615209999989,3
3,Left,LMC,Cons,Clear,72,5,1,0.666773099999773,2
3,Left,LMC,Cons,Clear,73,2,1,1.06200770000032,5
3,Left,LMC,Cons,Clear,74,5,1,0.600860599999578,1
3,Left,LMC,Cons,Clear,75,4,1,0.59406300000046,2
3,Left,LMC,Cons,Clear,76,3,1,0.546143899999151,4
3,Left,LMC,Cons,Clear,77,3,1,0.508817299998555,4
3,Left,LMC,Cons,Clear,78,1,0,0.502749299999778,2
3,Left,LMC,Tone,Noise,1,4,0,1.1088219000012,2
3,Left,LMC,Tone,Noise,2,1,0,0.691081299999496,3
3,Left,LMC,Tone,Noise,3,3,1,0.843568499998582,5
3,Left,LMC,Tone,Noise,4,4,1,0.686945800000103,4
3,Left,LMC,Tone,Noise,5,5,1,0.596978800000215,5
3,Left,LMC,Tone,Noise,6,2,0,0.76131979999991,5
3,Left,LMC,Tone,Noise,7,3,0,1.14998569999989,1
3,Left,LMC,Tone,Noise,8,5,1,0.699109900000622,4
3,Left,LMC,Tone,Noise,9,3,1,0.676793100001305,3
3,Left,LMC,Tone,Noise,10,3,0,0.923305000000255,4
3,Left,LMC,Tone,Noise,11,4,1,0.741339100000914,1
3,Left,LMC,Tone,Noise,12,2,0,0.699917699999787,3
3,Left,LMC,Tone,Noise,13,3,0,0.892339800000627,4
3,Left,LMC,Tone,Noise,14,2,0,0.691700999999739,4
3,Left,LMC,Tone,Noise,15,3,1,0.799663499999951,2
3,Left,LMC,Tone,Noise,16,3,1,0.831552100000408,2
3,Left,LMC,Tone,Noise,17,3,0,0.981536299999789,3
3,Left,LMC,Tone,Noise,18,4,1,0.801963300000352,3
3,Left,LMC,Tone,Noise,19,2,0,0.712641399999484,4
3,Left,LMC,Tone,Noise,20,5,1,0.601724800000738,3
3,Left,LMC,Tone,Noise,21,4,1,0.87363760000153,5
3,Left,LMC,Tone,Noise,22,2,0,0.646497200001249,1
3,Left,LMC,Tone,Noise,23,4,1,0.7146460999993,3
3,Left,LMC,Tone,Noise,24,4,1,0.639852599999358,4
3,Left,LMC,Tone,Noise,25,3,0,0.688892300000589,3
3,Left,LMC,Tone,Noise,26,5,1,0.913748699998905,2
3,Left,LMC,Tone,Noise,27,3,0,0.782565299999987,1
3,Left,LMC,Tone,Noise,28,2,0,0.909368399999948,3
3,Left,LMC,Tone,Noise,29,1,0,0.888823700001012,4
3,Left,LMC,Tone,Noise,30,1,0,0.662387899999885,1
3,Left,LMC,Tone,Noise,31,2,0,0.620994500000961,2
3,Left,LMC,Tone,Noise,32,1,0,0.645529400000669,2
3,Left,LMC,Tone,Noise,33,1,0,0.701415999999881,3
3,Left,LMC,Tone,Noise,34,1,0,0.63744460000089,5
3,Left,LMC,Tone,Noise,35,5,1,0.78142790000129,3
3,Left,LMC,Tone,Noise,36,4,1,0.636447400000179,2
3,Left,LMC,Tone,Noise,37,2,0,0.699357299999974,2
3,Left,LMC,Tone,Noise,38,3,1,1.18571779999911,5
3,Left,LMC,Tone,Noise,39,5,1,0.776579700001093,1
3,Left,LMC,Tone,Noise,40,4,1,0.75068900000042,2
3,Left,LMC,Tone,Noise,41,4,1,0.634253599999283,4
3,Left,LMC,Tone,Noise,42,1,0,0.574101000000155,1
3,Left,LMC,Tone,Noise,43,3,1,0.841779700000188,2
3,Left,LMC,Tone,Noise,44,5,1,0.760012499998993,4
3,Left,LMC,Tone,Noise,45,5,1,0.698542300000554,3
3,Left,LMC,Tone,Noise,46,3,0,0.688210100001015,2
3,Left,LMC,Tone,Noise,47,3,1,0.836346999998568,5
3,Left,LMC,Tone,Noise,48,4,1,0.685095900000306,3
3,Left,LMC,Tone,Noise,49,4,0,0.768520400000853,3
3,Left,LMC,Tone,Noise,50,2,0,0.702149700000518,3
3,Left,LMC,Tone,Noise,51,5,1,0.624764599999253,2
3,Left,LMC,Tone,Noise,52,1,0,0.665743499999735,4
3,Left,LMC,Tone,Noise,53,4,0,0.990867399999843,1
3,Left,LMC,Tone,Noise,54,2,0,0.685468300000139,4
3,Left,LMC,Tone,Noise,55,1,0,0.579888700000083,3
3,Left,LMC,Tone,Noise,56,3,0,0.656392400000186,1
3,Left,LMC,Tone,Noise,57,1,0,0.643907900001068,5
3,Left,LMC,Tone,Noise,58,5,1,0.676287299998876,3
3,Left,LMC,Tone,Noise,59,3,0,0.833186699999715,5
3,Left,LMC,Tone,Noise,60,3,0,0.619160099999135,3
3,Left,LMC,Tone,Noise,61,1,0,0.727029699999548,3
3,Left,LMC,Tone,Noise,62,2,0,0.654110800000126,3
3,Left,LMC,Tone,Noise,63,2,0,0.68221579999954,4
3,Left,LMC,Tone,Noise,64,4,1,0.765276199999789,4
3,Left,LMC,Tone,Noise,65,3,1,0.852196700001514,3
3,Left,LMC,Tone,Noise,66,4,1,0.589116300001479,2
3,Left,LMC,Tone,Noise,67,3,0,0.729507899999589,4
3,Left,LMC,Tone,Noise,68,2,0,0.831636400000207,5
3,Left,LMC,Tone,Noise,69,3,1,0.634296599999288,1
